future_horizon,anchor_date,end_date,start_period,end_period,past_n,future_n,past_market_brier,past_model_brier,past_adv,past_trusted,future_market_brier,future_model_brier,future_adv,future_model_better,sign_correct
30,2025-07-02,2025-09-21,2025,2025,50,30,0.19632189924992965,0.1996926193285779,-0.0033707200786482483,False,0.16102610106611875,0.14426759184065427,0.016758509225464485,True,False
30,2025-09-24,2025-11-19,2025,2025,50,31,0.16901653472310432,0.16352411504578904,0.005492419677315286,True,0.17336536162363012,0.1593927074720605,0.013972654151569619,True,True
30,2025-11-21,2026-02-13,2025,2026_JAN_JUL,50,30,0.16789467523919266,0.1544500781246263,0.013444597114566359,True,0.12722824820643133,0.09346736129962811,0.03376088690680322,True,True
30,2026-02-14,2026-05-17,2026_JAN_JUL,2026_JAN_JUL,50,30,0.11719801946764763,0.08294324426525922,0.03425477520238841,True,0.15548886552460392,0.13819226999666853,0.017296595527935388,True,True
50,2023-04-19,2023-07-01,2023,2023,50,51,0.2338580143454351,0.2582897185561391,-0.02443170421070398,False,0.24668824783911705,0.2797607543612452,-0.03307250652212815,False,True
50,2023-07-08,2023-10-11,2023,2023,50,50,0.23984267261201622,0.2711425130237555,-0.031299840411739305,False,0.20461280149584207,0.22107213378915191,-0.016459332293309842,False,True
50,2023-10-18,2023-12-26,2023,2023,50,52,0.20461280149584207,0.22107213378915191,-0.016459332293309842,False,0.2299510721382871,0.2511270468612101,-0.021175974722923013,False,True
50,2023-12-29,2024-03-09,2023,2024,50,50,0.23081571762180642,0.2505239174880017,-0.019708199866195264,False,0.22435649182696604,0.2527718401533271,-0.028415348326361056,False,True
50,2024-03-10,2024-06-29,2024,2024,50,52,0.22435649182696604,0.2527718401533271,-0.028415348326361056,False,0.19593211132898622,0.20179709023940204,-0.005864978910415819,False,True
50,2024-07-03,2024-11-23,2024,2024,50,50,0.1919326610882682,0.19645810552829082,-0.004525444440022619,False,0.20039197247659157,0.2118501392036589,-0.011458166727067315,False,True
50,2024-11-24,2025-02-20,2024,2025,50,52,0.20039197247659157,0.2118501392036589,-0.011458166727067315,False,0.19799671337897487,0.22124079296550103,-0.023244079586526162,False,True
50,2025-02-22,2025-05-02,2025,2025,50,50,0.19595836960114976,0.21892027615133514,-0.022961906550185374,False,0.2186133811387438,0.23174112908178623,-0.013127747943042445,False,True
50,2025-05-03,2025-09-20,2025,2025,50,50,0.2186133811387438,0.23174112908178623,-0.013127747943042445,False,0.16386738065409653,0.15257786015787425,0.011289520496222283,True,False
50,2025-09-21,2026-01-10,2025,2026_JAN_JUL,50,51,0.16386738065409653,0.15257786015787425,0.011289520496222283,True,0.16355017439110484,0.14586018735255882,0.017689987038546018,True,True
50,2026-01-11,2026-05-30,2026_JAN_JUL,2026_JAN_JUL,50,50,0.15868843265733484,0.1360289519736995,0.022659480683635352,True,0.17102874555317082,0.16795111640007535,0.003077629153095479,True,True
